feature,importance
resp_rate,0.1833679155543565
spo2,0.16681795292538218
wbc,0.12744730010244112
hemoglobin,0.12360291748432836
heart_rate,0.11681241611446866
lactate,0.10000554954888159
age,0.09905056703193851
creatinine,0.06577271690844468
diastolic_bp,0.005822917564123227
platelets,0.005246503578105153
systolic_bp,0.0032209195910371355
glucose,0.002832323596492948
