feature,importance
heart_rate,0.36072520324596474
spo2,0.14497059738400866
diastolic_bp,0.1404218053779235
creatinine,0.10103945565689436
age,0.0663770035293213
hemoglobin,0.058596265504916145
resp_rate,0.05842622364615112
systolic_bp,0.05782976662414264
lactate,0.003045187663763166
glucose,0.0029704106484790592
platelets,0.00286420868832302
wbc,0.0027338720301123103
